250,270,0,1,0.0402522,0.141136,0.027128,0.0200345,0.025251,-0.151997,-0.065966,0.12236,0.105398,-0.118987,-0.0567013,0.0646746,0.0466535,-0.0519483,-0.0449207,
270,290,0,1,0.0694383,0.236449,0.0332196,0.02209,0.0403354,-0.256084,-0.0960402,0.177318,0.145124,-0.19318,-0.0789349,0.10369,0.0542186,-0.072578,-0.05913,
290,310,0,1,0.0835137,0.292856,0.0290697,0.0181054,0.0443019,-0.312786,-0.0982675,0.184093,0.145644,-0.228942,-0.0782305,0.12281,0.0459132,-0.0723685,-0.0569155,
310,330,0,1,0.0973318,0.338058,0.0247558,0.0133411,0.0462806,-0.361588,-0.0982029,0.18278,0.13625,-0.25266,-0.0727622,0.135336,0.0364778,-0.0687268,-0.0516073,
330,350,0,1,0.119251,0.39679,0.0217466,0.010615,0.0463453,-0.434298,-0.101615,0.185705,0.130154,-0.271326,-0.0712668,0.148289,0.0303774,-0.0638287,-0.0446516,
350,370,0,1,0.159108,0.489498,0.0206289,0.0075138,0.0453154,-0.555396,-0.114014,0.200787,0.122168,-0.297798,-0.069042,0.168171,0.0249863,-0.061235,-0.0376908,
370,390,0,1,0.170872,0.539424,0.0178712,0.00561222,0.0430847,-0.59843,-0.109117,0.196083,0.11291,-0.304429,-0.0611566,0.164692,0.0200507,-0.0556843,-0.0334635,
390,410,0,1,0.157833,0.543066,0.0144827,0.00435016,0.0423779,-0.573206,-0.0936828,0.177299,0.0935636,-0.291538,-0.0461929,0.1461,0.0153519,-0.0470851,-0.0279233,
410,430,0,1,0.139566,0.52578,0.0112344,0.00329677,0.039318,-0.524386,-0.0767094,0.153361,0.0782756,-0.269647,-0.0355145,0.122022,0.0114526,-0.0388645,-0.023713,
430,450,0,1,0.12084,0.496301,0.00871235,0.00355768,0.0390287,-0.47104,-0.0625527,0.131288,0.0638913,-0.246102,-0.0262438,0.101605,0.00946881,-0.0311593,-0.0184723,
450,470,0,1,0.10104,0.457779,0.00656815,0.00185445,0.0368746,-0.409577,-0.0488737,0.109961,0.0516658,-0.220317,-0.0185184,0.0810056,0.00602727,-0.0262899,-0.0165505,
470,490,0,1,0.0843797,0.420282,0.00493088,0.00163315,0.0325632,-0.355103,-0.0386813,0.0911875,0.0434293,-0.19603,-0.013644,0.0648548,0.00468201,-0.0210582,-0.0161611,
490,510,0,1,0.0682265,0.377907,0.00366732,0.0015873,0.0321511,-0.302027,-0.0295143,0.0752261,0.035555,-0.170452,-0.0113802,0.048927,0.00371089,-0.0171366,-0.012213,
510,530,0,1,0.0560261,0.338203,0.0028021,0.000849836,0.0313305,-0.257347,-0.0231061,0.062428,0.0269489,-0.151298,-0.0068028,0.0398204,0.00221311,-0.0146745,-0.0104012,
530,550,0,1,0.0480145,0.302004,0.00240149,9.01547e-05,0.0268252,-0.217994,-0.019728,0.0526056,0.0220086,-0.130685,-0.00422565,0.0285296,0.00122358,-0.0117779,-0.0105299,
550,570,0,1,0.0385813,0.271426,0.00166611,0.00106115,0.0287768,-0.190328,-0.0148398,0.0428806,0.0178757,-0.114839,-0.00431275,0.0238569,0.00174603,-0.00922929,-0.00714186,
570,590,0,1,0.0318687,0.237714,0.00131282,0.000835403,0.0264569,-0.157695,-0.0118498,0.0347404,0.0133831,-0.0958449,-0.00206869,0.0148344,0.00130766,-0.00605457,-0.00607184,
590,610,0,1,0.0250623,0.213338,0.000867306,0.00072394,0.0253018,-0.134255,-0.0085042,0.0285647,0.00741413,-0.0855078,0.000574357,0.0126337,0.000760959,-0.00510311,-0.00474585,
610,630,0,1,0.0218468,0.193301,0.000758244,0.000552937,0.0208636,-0.116288,-0.00739837,0.024275,0.0119527,-0.0740978,-0.00248881,0.00862947,0.000892956,-0.00494478,-0.00681631,
630,650,0,1,0.0177401,0.170113,0.000675456,0.000209424,0.0220043,-0.0988429,-0.00603647,0.0206807,0.00831216,-0.0639332,-0.00152089,0.00577677,0.000430726,-0.00439333,-0.00524288,
