"",250,270,0.000000,0.400000,41.062083,143.962689,27.456011,19.757574,25.437555,-154.755779,-67.051738,124.391616,106.600783,-120.066370,-57.579605,64.927203,46.667830,-52.482006,-45.031116,
"",270,290,0.000000,0.400000,68.002848,235.240151,32.757223,22.124632,39.332438,-252.745684,-94.120611,174.390456,145.767469,-191.278819,-78.959480,102.243131,54.002014,-71.836079,-59.872873,
"",290,310,0.000000,0.400000,84.435617,287.656784,29.408474,17.339562,43.912914,-309.559199,-99.567593,184.212905,142.372712,-226.402561,-75.798525,121.325714,45.245127,-71.553289,-56.249189,
"",310,330,0.000000,0.400000,96.769442,336.338774,24.632685,13.645441,47.067069,-360.515503,-97.538068,182.095882,136.075108,-251.707233,-73.537420,134.805281,36.682590,-68.913637,-50.721300,
"",330,350,0.000000,0.400000,118.547156,396.601430,21.660830,10.796698,45.184023,-431.916526,-101.136047,185.170191,130.784193,-269.768320,-70.361387,147.121406,30.553245,-62.928613,-45.590532,
"",350,370,0.000000,0.400000,159.530303,490.575780,20.546274,7.324701,44.432259,-554.841370,-113.811263,200.486008,121.967476,-297.062439,-67.791916,167.249109,24.721614,-60.353439,-38.395189,
"",370,390,0.000000,0.400000,169.695598,534.197136,17.784616,5.443760,43.888064,-592.164799,-108.375608,194.444033,109.003501,-305.646298,-57.930753,165.727270,19.631333,-55.402896,-33.315982,
"",390,410,0.000000,0.400000,157.083636,541.943130,14.430673,4.166794,43.364944,-569.304999,-92.965298,176.783896,91.770484,-292.849053,-44.806877,146.031672,15.038796,-47.061034,-27.657796,
"",410,430,0.000000,0.400000,137.603310,524.114168,10.820553,4.543039,40.171500,-519.902854,-74.526224,150.624443,79.645560,-263.567215,-37.413139,117.157436,12.499317,-36.481864,-21.259269,
"",430,450,0.000000,0.400000,123.943233,497.963679,9.065848,2.715523,36.114619,-470.236495,-64.560057,132.746734,58.764348,-249.285618,-20.450741,104.286479,8.557525,-30.733354,-19.516752,
"",450,470,0.000000,0.400000,101.219027,461.208281,6.541684,1.817099,36.484055,-408.602957,-48.564898,110.204206,52.775164,-221.545365,-18.495268,80.738188,5.992419,-26.637316,-17.063942,
"",470,490,0.000000,0.400000,83.811773,422.947458,4.829604,1.575380,32.117008,-353.239823,-37.770589,91.513255,44.731602,-196.780375,-14.390253,64.605100,4.552055,-22.476273,-16.641775,
"",490,510,0.000000,0.400000,67.005674,377.131376,3.490606,1.638577,32.273515,-296.678783,-28.135992,74.010141,34.805106,-170.158436,-11.291257,47.766921,3.605963,-17.222689,-11.339918,
"",510,530,0.000000,0.400000,53.903967,337.256294,2.606258,1.181649,32.227525,-250.083770,-21.553174,60.957104,27.997858,-151.145392,-7.996532,37.266509,2.482820,-14.353806,-9.663038,
"",530,550,0.000000,0.400000,46.382028,298.440831,2.429175,0.094896,27.047379,-210.020132,-19.033768,52.848664,21.357586,-128.332812,-3.678750,25.859344,1.186299,-11.881156,-9.564423,
"",550,570,0.000000,0.400000,38.229025,270.174480,1.579738,1.273388,27.698173,-184.021137,-14.338439,41.845065,18.864524,-113.073948,-4.624638,20.873812,1.976514,-8.109448,-7.034671,
"",570,590,0.000000,0.400000,31.490115,235.644656,1.286768,1.113284,27.060464,-151.960229,-11.573920,33.936797,13.205342,-94.951402,-1.620172,12.487284,1.558042,-4.817924,-4.966012,
"",590,610,0.000000,0.400000,24.861494,212.701154,0.851562,1.098328,24.507045,-129.712360,-8.345360,27.894061,6.971225,-83.984015,0.669164,10.462802,1.135377,-3.917138,-3.921107,
"",610,630,0.000000,0.400000,21.385263,191.781246,0.812425,0.227722,21.607877,-111.130416,-7.380618,24.273450,9.431937,-75.079392,-0.533099,8.254312,0.492669,-5.046706,-6.928830,
"",630,650,0.000000,0.400000,16.462449,168.845442,0.591622,0.514240,20.715821,-92.163356,-5.305203,19.657797,7.968968,-61.237242,-1.180721,2.320439,0.723301,-3.335741,-5.217377,
"",650,670,0.000000,0.400000,15.234524,149.685165,0.586509,0.359522,20.032898,-80.435185,-5.142182,17.119907,5.572741,-53.374000,-0.127970,1.839841,0.461662,-2.716912,-3.686598,
"",670,700,0.000000,0.400000,12.118322,130.144306,0.423259,0.388023,19.512287,-66.782238,-3.818207,13.999644,4.650540,-44.178889,-0.828917,-0.381832,0.491397,-2.105322,-3.179529,
"",700,750,0.000000,0.400000,7.720991,103.254915,0.251395,-0.050037,17.463689,-47.846217,-2.091873,9.755029,2.803861,-32.948614,0.102945,-1.295375,-0.056352,-1.824576,-2.706866,
"",750,800,0.000000,0.400000,5.683918,78.017975,0.182439,0.232439,14.469198,-32.994070,-1.695601,6.347155,2.392810,-21.329672,-0.439468,-3.299597,0.262995,-0.862149,-2.109622,
"",800,850,0.000000,0.400000,3.931526,59.238261,0.131390,-0.142293,12.615105,-22.690586,-1.188244,4.329100,1.020419,-16.201370,0.355165,-1.774891,-0.139962,-1.339225,-2.616072,
"",850,900,0.000000,0.400000,3.047985,45.565212,0.099941,0.196284,10.932650,-16.318875,-1.018610,2.801937,0.707695,-10.821772,0.516404,-1.829955,0.190685,-0.117521,-1.538987,
"",900,950,0.000000,0.400000,1.852760,34.977503,0.003038,-0.002207,10.706051,-12.108758,-0.247556,1.837041,0.962832,-8.291532,-0.115943,-1.095244,-0.019317,-0.548105,-1.406699,
"",950,1000,0.000000,0.400000,1.165287,27.731188,-0.004429,0.055738,9.481465,-8.954671,-0.050165,1.455232,-0.021447,-5.378995,0.177691,-1.171856,0.006990,-0.072757,-0.463226,
